# station distance_km azimuth_deg backazimuth_deg
ACIS 13668.524 344.79 12.17
AGAN 13227.022 29.59 336.62
CARP 5605.816 257.93 51.84
CET2 6478.085 264.78 53.06
CHCE 13759.430 7.78 353.74
CIRK 7690.218 275.34 53.49
CMPN 13358.014 24.20 340.70
CNDF 3252.673 221.68 32.24
CO22 5733.692 100.93 307.86
CUP2 12764.060 38.08 330.23
CUTR 13139.903 29.21 336.80
FALC 13826.704 356.21 3.04
FERC 8307.411 81.50 307.39
GERV 6887.939 268.35 53.46
GIMI 3403.110 131.97 323.23
GIOM 13793.061 7.82 353.72
GIOT 6608.621 94.21 306.83
LADO 10529.796 63.42 313.81
LARA 9139.797 75.35 308.95
LATT 13810.021 356.22 3.04
LC22 13807.652 7.84 353.71
MANE 8715.524 78.31 308.05
MC32 7732.291 274.80 53.30
MCDA 7276.709 272.07 53.69
MMN1 12566.802 317.55 32.81
MMN 12653.223 41.11 328.14
MMN9 2741.373 200.50 16.33
MOKA 7880.078 84.51 306.89
MUGA 11711.879 307.12 39.88
OPPI 4145.269 119.51 315.68
RICA 12400.589 314.88 34.64
ROI 12023.133 311.19 37.29
SCAI 7427.794 87.27 306.48
SCAN 9374.875 287.36 50.37
SERA 2679.460 196.04 12.82
SIMB 7440.775 87.44 306.55
SMIN 13580.218 19.06 344.78
SPDC 7751.897 274.55 53.21
SPNT 13777.068 356.24 3.03
SPS2 4080.842 240.29 44.30
UC01 5441.495 256.32 51.36
VBL2 13238.501 29.64 336.59
ALB1 2769.555 153.63 339.04
ATN 4188.831 120.13 316.17
BRICA 3923.678 123.03 317.69
BULG 7931.815 85.17 307.11
CAR1 6034.896 261.54 52.65
CEL 4266.245 242.01 45.12
CELI 13637.877 344.86 12.13
CUC 9703.765 288.31 49.59
GIZZ 3463.541 228.37 36.92
GMB1 9826.585 70.74 310.78
GRI 12133.317 47.68 323.50
GRIS 13832.317 6.70 354.63
JOPP 11505.629 55.80 318.43
MPAZ 11207.148 58.62 316.73
MPNC 9941.394 70.46 311.05
MSCL 13392.811 26.71 338.87
MSRU 4038.611 122.42 317.46
MTTG 10315.470 66.99 312.45
NICCA 12393.413 314.93 34.63
ORI 2567.719 184.27 3.43
PIPA 9834.586 69.35 311.03
PLAC 12225.025 313.56 35.67
SALB 9949.206 69.07 311.31
SDT2 11888.004 308.35 38.99
SELL 9967.367 291.44 48.56
SERS 11508.956 54.51 319.01
SICLA 2724.033 195.82 12.62
SOI 7328.646 271.38 53.40
TDS 12107.937 311.85 36.80
TIP 5618.580 101.22 307.76
SCTE 11949.826 46.40 323.90
BIDON 12465.055 316.95 33.32
CNESE 8900.693 77.30 308.42
FRASC 13810.759 357.38 2.11
LAICA 3682.176 232.36 39.47
SHEVA 12058.631 310.94 37.37
TNOVA 3904.631 122.76 317.47
ZIDIL 7530.584 86.88 306.61
T1811 13060.989 328.17 25.15
T1812 4181.829 117.82 314.61
T1813 10775.877 61.57 314.87
T1886 12875.755 35.07 332.38
