STA1 CMP1 STA2 CMP2 deltachi deltaCC Lat Lon
ACIS HHE ACIS CXX -0.162299 0.478155 39.359050 16.226870
ACIS HHN ACIS CXY -0.152156 0.319203 39.359050 16.226870
ACIS HHZ ACIS CXZ -0.181616 0.151413 39.359050 16.226870
BIDON HHE BIDON CXX 0.068999 -0.061734 39.945700 16.455900
BIDON HHN BIDON CXY 0.171665 -0.112183 39.945700 16.455900
BIDON HHZ BIDON CXZ -0.164264 0.146139 39.945700 16.455900
BRICA EHE BRICA CXX 0.045528 0.279541 38.723840 16.029050
BRICA EHN BRICA CXY 0.056219 -0.088081 38.723840 16.029050
BRICA EHZ BRICA CXZ 0.022415 0.183354 38.723840 16.029050
CARP HHE CARP CXX -0.233104 0.555856 39.147860 16.313330
CARP HHN CARP CXY -0.029566 0.109751 39.147860 16.313330
CARP HHZ CARP CXZ 0.064348 0.041129 39.147860 16.313330
CELI HHE CELI CXX -0.288599 0.510592 39.402700 16.508800
CELI HHN CELI CXY -0.089178 0.232258 39.402700 16.508800
CELI HHZ CELI CXZ -0.123925 0.257094 39.402700 16.508800
CET2 HHE CET2 CXX -0.182524 0.393425 39.528760 15.954620
CET2 HHN CET2 CXY -0.212676 0.459426 39.528760 15.954620
CET2 HHZ CET2 CXZ -0.023159 0.168664 39.528760 15.954620
CHCE HHE CHCE CXX -0.122064 0.312172 38.683970 16.414180
CHCE HHN CHCE CXY -0.049179 0.194842 38.683970 16.414180
CHCE HHZ CHCE CXZ 0.130448 0.200514 38.683970 16.414180
CIRK HHE CIRK CXX 0.238648 0.159322 39.388430 17.061390
CIRK HHN CIRK CXY -0.084263 0.292357 39.388430 17.061390
CIRK HHZ CIRK CXZ -0.306925 0.532623 39.388430 17.061390
CMPN HHE CMPN CXX -0.021692 0.488552 39.407650 16.830300
CMPN HHN CMPN CXY -0.019592 0.065706 39.407650 16.830300
CMPN HHZ CMPN CXZ -0.213026 0.305612 39.407650 16.830300
CNDF HHE CNDF CXX 0.137146 0.160925 38.003240 15.857150
CNDF HHN CNDF CXY 0.052514 0.140964 38.003240 15.857150
CNDF HHZ CNDF CXZ 0.106773 0.097899 38.003240 15.857150
CNESE HHE CNESE CXX -0.221103 0.056943 39.894100 16.084300
CNESE HHN CNESE CXY 0.072138 -0.097527 39.894100 16.084300
CNESE HHZ CNESE CXZ -0.006488 0.155362 39.894100 16.084300
CO22 HHE CO22 CXX -0.237891 0.551434 39.492590 16.305050
CO22 HHN CO22 CXY -0.171638 0.424431 39.492590 16.305050
CO22 HHZ CO22 CXZ -0.090603 0.309713 39.492590 16.305050
