STA1 CMP1 STA2 CMP2 deltachi deltaCC Lat Lon
ACIS HHE ACIS CXX -0.226480 0.188379 39.359050 16.226870
ACIS HHN ACIS CXY -0.099847 0.086472 39.359050 16.226870
ACIS HHZ ACIS CXZ -0.137675 0.077419 39.359050 16.226870
BIDON HHE BIDON CXX 0.071833 -0.108202 39.945700 16.455900
BIDON HHN BIDON CXY 0.003516 0.084497 39.945700 16.455900
BIDON HHZ BIDON CXZ -0.088742 0.007016 39.945700 16.455900
BRICA EHE BRICA CXX 0.099014 -0.073539 38.723840 16.029050
BRICA EHN BRICA CXY 0.051476 -0.071229 38.723840 16.029050
BRICA EHZ BRICA CXZ 0.046768 0.056586 38.723840 16.029050
CARP HHE CARP CXX -0.131007 -0.125525 39.147860 16.313330
CARP HHN CARP CXY 0.067997 -0.107886 39.147860 16.313330
CARP HHZ CARP CXZ 0.001726 0.096783 39.147860 16.313330
CELI HHE CELI CXX -0.256094 0.285854 39.402700 16.508800
CELI HHN CELI CXY -0.014345 0.015792 39.402700 16.508800
CELI HHZ CELI CXZ -0.242205 0.092698 39.402700 16.508800
CET2 HHE CET2 CXX -0.361780 0.288274 39.528760 15.954620
CET2 HHN CET2 CXY 0.141388 0.011054 39.528760 15.954620
CET2 HHZ CET2 CXZ -0.275912 0.128758 39.528760 15.954620
CHCE HHE CHCE CXX 0.147035 0.078308 38.683970 16.414180
CHCE HHN CHCE CXY 0.192797 -0.002819 38.683970 16.414180
CHCE HHZ CHCE CXZ 0.079418 0.115450 38.683970 16.414180
CIRK HHE CIRK CXX 0.078901 -0.198423 39.388430 17.061390
CIRK HHN CIRK CXY -0.159342 -0.020987 39.388430 17.061390
CIRK HHZ CIRK CXZ -0.092039 -0.042651 39.388430 17.061390
CMPN HHE CMPN CXX -0.192919 -0.021872 39.407650 16.830300
CMPN HHN CMPN CXY -0.011605 0.172023 39.407650 16.830300
CMPN HHZ CMPN CXZ -0.245264 -0.073560 39.407650 16.830300
CNDF HHE CNDF CXX 0.110583 0.052741 38.003240 15.857150
CNDF HHN CNDF CXY 0.012723 -0.075821 38.003240 15.857150
CNDF HHZ CNDF CXZ 0.130225 0.000019 38.003240 15.857150
CNESE HHE CNESE CXX -0.300239 0.230366 39.894100 16.084300
CNESE HHN CNESE CXY -0.310718 0.205887 39.894100 16.084300
CNESE HHZ CNESE CXZ -0.333888 0.091279 39.894100 16.084300
CO22 HHE CO22 CXX -0.329121 0.220683 39.492590 16.305050
CO22 HHN CO22 CXY -0.173843 -0.135079 39.492590 16.305050
CO22 HHZ CO22 CXZ -0.256055 0.097797 39.492590 16.305050
CUC HHE CUC CXX -0.368923 0.179862 39.993800 15.815500
CUC HHN CUC CXY -0.360791 0.194494 39.993800 15.815500
CUC HHZ CUC CXZ -0.472394 0.222951 39.993800 15.815500
CUP2 EHE CUP2 CXX 0.004369 0.198270 39.383430 16.548190
CUP2 EHN CUP2 CXY -0.114223 0.120056 39.383430 16.548190
CUP2 EHZ CUP2 CXZ -0.175986 0.062634 39.383430 16.548190
CUTR HHE CUTR CXX -0.039985 -0.383360 39.021830 17.073690
CUTR HHN CUTR CXY -0.066372 0.014887 39.021830 17.073690
CUTR HHZ CUTR CXZ -0.072794 0.184716 39.021830 17.073690
FALC HHE FALC CXX -0.249038 0.039805 39.272070 16.079560
FALC HHN FALC CXY -0.062229 0.063175 39.272070 16.079560
FALC HHZ FALC CXZ -0.119193 -0.069856 39.272070 16.079560
FRASC HHE FRASC CXX -0.174412 0.057006 39.838090 16.266290
FRASC HHN FRASC CXY -0.025263 -0.017690 39.838090 16.266290
FRASC HHZ FRASC CXZ -0.270112 0.001838 39.838090 16.266290
GERV EHE GERV CXX -0.253885 0.104708 39.295770 16.230950
GERV EHN GERV CXY -0.012686 -0.064912 39.295770 16.230950
GERV EHZ GERV CXZ -0.105179 0.108001 39.295770 16.230950
GIMI HHE GIMI CXX 0.056135 -0.112636 38.967840 16.537510
GIMI HHN GIMI CXY 0.208760 -0.064105 38.967840 16.537510
GIMI HHZ GIMI CXZ 0.030671 0.023635 38.967840 16.537510
GIOM HHE GIOM CXX 0.101108 0.042485 38.386110 16.109910
GIOM HHN GIOM CXY 0.127999 0.024659 38.386110 16.109910
GIOM HHZ GIOM CXZ 0.074564 0.019361 38.386110 16.109910
GMB1 HHE GMB1 CXX 0.081827 -0.112331 38.172300 15.817900
GMB1 HHN GMB1 CXY 0.061617 0.081717 38.172300 15.817900
GMB1 HHZ GMB1 CXZ 0.091540 -0.063385 38.172300 15.817900
GRIS EHE GRIS CXX -0.248735 0.166842 39.740500 15.853100
GRIS EHN GRIS CXY -0.019519 0.103146 39.740500 15.853100
GRIS EHZ GRIS CXZ -0.229406 -0.055252 39.740500 15.853100
LADO EHE LADO CXX -0.108283 0.041588 39.283980 16.979490
LADO EHN LADO CXY -0.260367 0.332562 39.283980 16.979490
LADO EHZ LADO CXZ -0.289824 -0.067268 39.283980 16.979490
LAICA HHE LAICA CXX -0.329866 0.209577 39.948480 15.975050
LAICA HHN LAICA CXY -0.291239 0.174216 39.948480 15.975050
LAICA HHZ LAICA CXZ -0.366606 0.193791 39.948480 15.975050
LARA HHE LARA CXX -0.238482 0.204983 39.275660 16.242920
LARA HHN LARA CXY -0.039428 0.076574 39.275660 16.242920
LARA HHZ LARA CXZ -0.097365 0.000909 39.275660 16.242920
LATT HHE LATT CXX -0.323660 0.309424 39.441840 16.229800
LATT HHN LATT CXY -0.042272 -0.016807 39.441840 16.229800
LATT HHZ LATT CXZ -0.207036 0.029370 39.441840 16.229800
LC22 EHE LC22 CXX -0.136111 0.097884 39.936400 15.977900
LC22 EHN LC22 CXY -0.097413 0.123167 39.936400 15.977900
LC22 EHZ LC22 CXZ -0.133827 0.040351 39.936400 15.977900
MANE EHE MANE CXX -0.124426 -0.012919 39.201810 16.337500
MANE EHN MANE CXY -0.045905 0.025134 39.201810 16.337500
MANE EHZ MANE CXZ -0.064208 0.001736 39.201810 16.337500
MCDA HHE MCDA CXX -0.067985 -0.229179 39.021600 16.840270
MCDA HHN MCDA CXY -0.021680 0.015504 39.021600 16.840270
MCDA HHZ MCDA CXZ -0.066677 -0.031894 39.021600 16.840270
MMN HHE MMN CXX -0.348151 0.233825 39.890830 15.990600
MMN HHN MMN CXY -0.255744 -0.015057 39.890830 15.990600
MMN HHZ MMN CXZ -0.403081 0.165893 39.890830 15.990600
MOKA HHE MOKA CXX -0.241428 0.187287 39.885720 16.150740
MOKA HHN MOKA CXY -0.127751 -0.122180 39.885720 16.150740
MOKA HHZ MOKA CXZ -0.352171 0.117703 39.885720 16.150740
MPAZ HHE MPAZ CXX 0.112998 0.090012 37.953100 16.006700
MPAZ HHN MPAZ CXY 0.026313 -0.054271 37.953100 16.006700
MPAZ HHZ MPAZ CXZ 0.128046 0.003000 37.953100 16.006700
MUGA EHE MUGA CXX 0.115131 0.095559 38.517440 16.322260
MUGA EHN MUGA CXY 0.084362 0.225845 38.517440 16.322260
MUGA EHZ MUGA CXZ 0.082590 -0.014011 38.517440 16.322260
NICCA EHE NICCA CXX -0.000001 -0.002500 38.556940 15.938580
NICCA EHN NICCA CXY 0.000000 -0.154690 38.556940 15.938580
NICCA EHZ NICCA CXZ -0.000001 0.053059 38.556940 15.938580
OPPI HHE OPPI CXX 0.070725 -0.116938 38.267540 16.010050
OPPI HHN OPPI CXY 0.091384 0.109652 38.267540 16.010050
OPPI HHZ OPPI CXZ 0.091731 0.016322 38.267540 16.010050
PIPA HHE PIPA CXX -0.153893 -0.054267 39.485140 16.815800
PIPA HHN PIPA CXY -0.072219 0.135325 39.485140 16.815800
PIPA HHZ PIPA CXZ -0.169325 -0.132454 39.485140 16.815800
PLAC HHE PLAC CXX 0.022426 -0.040464 38.449400 16.438300
PLAC HHN PLAC CXY -0.007038 0.005524 38.449400 16.438300
PLAC HHZ PLAC CXZ 0.133512 -0.041051 38.449400 16.438300
RICA HHE RICA CXX 0.068976 -0.055244 38.624030 15.860150
RICA HHN RICA CXY 0.121939 -0.088343 38.624030 15.860150
RICA HHZ RICA CXZ 0.084160 0.084903 38.624030 15.860150
ROI HHE ROI CXX -0.169111 0.022205 39.571780 16.569220
ROI HHN ROI CXY -0.031390 0.137131 39.571780 16.569220
ROI HHZ ROI CXZ -0.281550 0.015107 39.571780 16.569220
SALB HHE SALB CXX -0.056924 0.028876 39.877200 16.345900
SALB HHN SALB CXY -0.101373 0.019928 39.877200 16.345900
SALB HHZ SALB CXZ -0.288321 0.087349 39.877200 16.345900
SCAI HHE SCAI CXX 0.041130 0.279157 38.534290 16.517730
SCAI HHN SCAI CXY 0.043457 0.092972 38.534290 16.517730
SCAI HHZ SCAI CXZ 0.087720 -0.117404 38.534290 16.517730
SELL HHE SELL CXX 0.109911 -0.064457 38.983000 16.627900
SELL HHN SELL CXY 0.104804 -0.047693 38.983000 16.627900
SELL HHZ SELL CXZ 0.055066 -0.039780 38.983000 16.627900
SERS HHE SERS CXX -0.017557 -0.064457 39.035900 16.688600
SERS HHN SERS CXY 0.062859 0.155162 39.035900 16.688600
SERS HHZ SERS CXZ -0.030554 -0.024445 39.035900 16.688600
SHEVA HHE SHEVA CXX -0.288379 0.160131 39.815300 16.167730
SHEVA HHN SHEVA CXY -0.093104 -0.246892 39.815300 16.167730
SHEVA HHZ SHEVA CXZ -0.320809 0.092016 39.815300 16.167730
SICLA EHE SICLA CXX 0.040493 -0.078228 38.256300 15.714500
SICLA EHN SICLA CXY 0.004920 0.030811 38.256300 15.714500
SICLA EHZ SICLA CXZ 0.064342 -0.111056 38.256300 15.714500
SIMB EHE SIMB CXX 0.073138 0.056526 38.606720 16.321550
SIMB EHN SIMB CXY 0.092619 0.018939 38.606720 16.321550
SIMB EHZ SIMB CXZ 0.063420 -0.014804 38.606720 16.321550
SMIN EHE SMIN CXX -0.001805 -0.070403 38.972960 16.228260
SMIN EHN SMIN CXY -0.035733 -0.043239 38.972960 16.228260
SMIN EHZ SMIN CXZ 0.039926 -0.176817 38.972960 16.228260
SOI HHE SOI CXX 0.106833 0.108821 38.073230 16.054240
SOI HHN SOI CXY 0.072770 0.151803 38.073230 16.054240
SOI HHZ SOI CXZ 0.116975 0.043327 38.073230 16.054240
SPDC HHE SPDC CXX 0.083812 0.011805 38.526310 16.132160
SPDC HHN SPDC CXY 0.104617 0.153526 38.526310 16.132160
SPDC HHZ SPDC CXZ 0.053156 -0.021506 38.526310 16.132160
SPNT EHE SPNT CXX -0.093876 0.038841 39.156860 16.526570
SPNT EHN SPNT CXY 0.116635 0.117534 39.156860 16.526570
SPNT EHZ SPNT CXZ -0.071559 0.040986 39.156860 16.526570
SPS2 HHE SPS2 CXX -0.212264 0.220079 39.294090 16.337870
SPS2 HHN SPS2 CXY -0.177250 -0.064474 39.294090 16.337870
SPS2 HHZ SPS2 CXZ -0.105593 0.127880 39.294090 16.337870
