STA1 CMP1 STA2 CMP2 deltachi deltaCC Lat Lon
BIDON HHE BIDON CXX 0.031707 0.184236 39.945700 16.455900
BIDON HHN BIDON CXY 0.041287 0.042951 39.945700 16.455900
BIDON HHZ BIDON CXZ 0.104294 -0.104792 39.945700 16.455900
CARP HHE CARP CXX 0.045273 -0.278309 39.147860 16.313330
CARP HHN CARP CXY -0.015674 -0.223222 39.147860 16.313330
CARP HHZ CARP CXZ 0.057124 -0.223273 39.147860 16.313330
CELI HHE CELI CXX 0.223058 -0.245085 39.402700 16.508800
CELI HHN CELI CXY 0.003032 0.023055 39.402700 16.508800
CELI HHZ CELI CXZ 0.077376 -0.063760 39.402700 16.508800
CHCE HHE CHCE CXX 0.113559 -0.096925 38.683970 16.414180
CHCE HHN CHCE CXY 0.069222 -0.078326 38.683970 16.414180
CHCE HHZ CHCE CXZ 0.150506 -0.310537 38.683970 16.414180
CIRK HHE CIRK CXX 0.348155 -0.195958 39.388430 17.061390
CIRK HHN CIRK CXY -0.172286 0.014688 39.388430 17.061390
CIRK HHZ CIRK CXZ 0.143708 -0.052322 39.388430 17.061390
CMPN HHE CMPN CXX 0.548642 -0.356298 39.407650 16.830300
CMPN HHN CMPN CXY -0.044117 0.100387 39.407650 16.830300
CMPN HHZ CMPN CXZ 0.295372 -0.351836 39.407650 16.830300
CNDF HHE CNDF CXX 0.041055 -0.209348 38.003240 15.857150
CNDF HHN CNDF CXY 0.008827 -0.425159 38.003240 15.857150
CNDF HHZ CNDF CXZ 0.000553 -0.331599 38.003240 15.857150
CNESE HHE CNESE CXX 0.384788 -0.146970 39.894100 16.084300
CNESE HHN CNESE CXY 0.188121 -0.184389 39.894100 16.084300
CNESE HHZ CNESE CXZ 0.044999 -0.384469 39.894100 16.084300
CO22 HHE CO22 CXX 0.161496 -0.146793 39.492590 16.305050
CO22 HHN CO22 CXY 0.015399 -0.020331 39.492590 16.305050
CO22 HHZ CO22 CXZ 0.013709 -0.219574 39.492590 16.305050
CUC HHE CUC CXX 0.117115 -0.200480 39.993800 15.815500
CUC HHN CUC CXY 0.345473 -0.147973 39.993800 15.815500
CUC HHZ CUC CXZ 0.059450 -0.213026 39.993800 15.815500
CUTR HHE CUTR CXX 0.305875 -0.312049 39.021830 17.073690
CUTR HHN CUTR CXY 0.083213 -0.047915 39.021830 17.073690
CUTR HHZ CUTR CXZ -0.018045 -0.396727 39.021830 17.073690
FALC HHE FALC CXX 0.023487 -0.248137 39.272070 16.079560
FALC HHN FALC CXY -0.051453 -0.219618 39.272070 16.079560
FALC HHZ FALC CXZ 0.040037 -0.316430 39.272070 16.079560
FRASC HHE FRASC CXX 0.258676 -0.192337 39.838090 16.266290
FRASC HHN FRASC CXY -0.015155 -0.030648 39.838090 16.266290
FRASC HHZ FRASC CXZ 0.176955 -0.328575 39.838090 16.266290
GIOM HHE GIOM CXX 0.182320 -0.094123 38.386110 16.109910
GIOM HHN GIOM CXY 0.159730 0.022206 38.386110 16.109910
GIOM HHZ GIOM CXZ 0.182082 -0.395157 38.386110 16.109910
GMB1 HHE GMB1 CXX 0.029507 -0.183948 38.172300 15.817900
