# station distance_km azimuth_deg backazimuth_deg
ACIS 5786.387 242.14 32.89
AGAN 8333.900 277.02 37.56
CARP 7142.476 97.59 322.47
CET2 6533.644 106.59 323.99
CHCE 7009.766 260.86 37.38
CIRK 5531.111 120.50 327.89
CMPN 7953.834 273.45 37.96
CNDF 9255.954 72.29 324.26
CO22 12188.484 6.67 355.91
CUP2 8884.547 284.28 36.60
CUTR 8258.789 277.56 37.71
FALC 6402.982 251.75 35.66
FERC 11918.436 336.41 14.22
GERV 6198.303 111.05 325.02
GIMI 11449.338 35.86 338.88
GIOM 7036.669 260.65 37.28
GIOT 12247.199 356.46 2.17
LADO 10746.261 311.14 27.67
LARA 11594.837 326.90 19.60
LATT 6389.413 251.85 35.71
LC22 7048.351 260.56 37.24
MANE 11752.394 331.65 16.97
MC32 5590.962 120.94 328.17
MCDA 5841.220 115.50 326.21
MMN1 4539.275 209.47 17.57
MMN 9124.264 286.29 36.08
MMN9 9905.941 63.45 326.70
MOKA 12034.190 341.33 11.34
MUGA 4212.307 190.26 6.29
OPPI 11845.074 26.62 344.04
RICA 4462.757 205.15 15.10
ROI 4265.256 198.01 10.97
SCAI 12085.151 346.38 8.33
SCAN 4571.834 144.63 339.08
SERA 10015.407 61.80 327.24
SIMB 12106.735 346.35 8.34
SMIN 7678.874 269.04 37.89
SPDC 5618.825 121.14 328.30
SPNT 6362.638 252.06 35.82
SPS2 8382.632 82.19 322.49
UC01 7276.528 95.94 322.33
VBL2 8343.815 276.95 37.55
ALB1 10925.139 46.53 333.47
ATN 11903.368 26.78 344.00
BRICA 11750.517 29.49 342.42
BULG 12118.474 341.17 11.39
CAR1 6828.413 101.96 323.07
CEL 8291.556 84.05 322.42
CELI 5760.081 242.33 33.01
CUC 4587.484 149.34 341.79
GIZZ 8972.624 75.22 323.57
GMB1 11324.195 319.40 23.51
GRI 9579.418 292.84 34.52
GRIS 6994.807 259.62 37.09
JOPP 10214.603 300.59 31.86
MPAZ 10424.893 303.94 30.60
MPNC 11328.375 318.31 24.01
MSCL 8176.074 274.37 37.67
MSRU 11837.678 28.69 342.91
MTTG 11066.304 314.02 26.14
NICCA 4454.338 205.18 15.13
ORI 10267.774 57.56 328.74
PIPA 11179.699 318.91 23.89
PLAC 4347.532 202.46 13.59
SALB 11183.816 317.83 24.37
SDT2 4290.929 193.25 8.08
SELL 4377.805 154.67 344.73
SERS 10082.317 300.20 32.15
SICLA 10053.836 62.02 327.24
SOI 5913.996 116.05 326.54
TDS 4311.557 199.44 11.81
TIP 12130.061 7.65 355.30
SCTE 9391.931 294.01 34.61
BIDON 4458.041 208.27 16.94
CNESE 11714.967 329.67 18.06
FRASC 6448.608 252.80 35.94
LAICA 8802.123 77.71 323.17
SHEVA 4309.090 197.89 10.87
TNOVA 11725.919 29.42 342.44
ZIDIL 12097.503 345.34 8.95
T1811 4892.477 224.47 25.56
T1812 11821.278 25.52 344.63
T1813 10617.510 308.49 28.82
T1886 8654.982 282.20 37.07
